title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Restaurant for sale,https://www.rightmove.co.uk/properties/107097230#/?channel=COM_BUY,"Hot Food Take Away, West Yorkshire","PROFESSIONAL PIZZA BAR One of the Busiest Sites in West Yorkshire
Retirement Sale After 22 Years Here
Highly Profitable Concern Yet Scope for Much More
THIS IS A TREMENDOUS BUY – VERY MUCH RECOMMENDED
Weekly Turnover £16,000 to £18,000
REF 584891. EPC Band E.
Business £295,000
Leeds",295000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/84619678/153122_584891_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/107097230#/?channel=COM_BUY,"Garden Centre & Horticulture, North of England, North of England","LANDSCAPE ARCHITECTS Providing Services to Clients Throughout the UK
Exceptional Adjusted Net Profits in Excess of £135,000
Offering Traditional Landscape Design and Assessment Services and Ecology Surveys
Run From an Extensive Suite of Offices Which Are Held on Lease
Annual Net Turnover £553,93...",250000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/125504003/153122_587167_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Land for sale,https://www.rightmove.co.uk/properties/115497077#/?channel=COM_BUY,"Land at Astley Way, Astley Lane Industrial Estate, Swillington, Leeds","The land is fairly regular in shape and reasonably level, currently overgrown with grass and shrubbery. It is calculated the land extends to a gross area of around 0.219 hectare (0.541 acre). It is considered the land would be suitable for industrial development or the creation of a storage ...",250000.0,23522,,"Walker Singleton (Commercial), Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211115/128647334/211115_103446_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Place of worship for sale,https://www.rightmove.co.uk/properties/115497077#/?channel=COM_BUY,"Church Street, Leeds, West Yorkshire, LS26",Former church,225000.0,2585,,"NABARRO MCALLISTER & CO LIMITED, Leeds",,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Land for sale,https://www.rightmove.co.uk/properties/63047794#/?channel=COM_BUY,"Development Site, Helston Way, Leeds, LS10 4PG","Freehold. Development site on former pub. 10-12 apartment C3 units previously approved. Recently expired planning permission in 2021. 0.425 acre cleared site. Transport links, retail & amenities close by",225000.0,,,"Christie & Co, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163163/128511248/163163_5455495-fh_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Plot for sale,https://www.rightmove.co.uk/properties/63047794#/?channel=COM_BUY,"Development Site, Helston Way, Leeds, LS10 4PG","Freehold. Development site on former pub. 10-12 apartment C3 units previously approved. Recently expired planning permission in 2021. 0.425 acre cleared site. Transport links, retail & amenities close by",225000.0,,,"Christie & Co, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163163/128600354/163163_residevelopment_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Cafe for sale,https://www.rightmove.co.uk/properties/84619678#/?channel=COM_BUY,"Cafe & Sandwich Bars, West yorkshire","SANDWICH BAR
Refurbished to an Exceptionally High Standard
Prime Trading Position
Maintaining Excellent Margins
Run By Staff In Very Easy Hours
Weekly Turnover £3,000
REF 587306 EPC Band D.
Business and Property, Offers Around £215,000
Leeds",215000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/123661052/153122_587306_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Garage for sale,https://www.rightmove.co.uk/properties/84619678#/?channel=COM_BUY,"Printing, Publishing & Photography, Rothwell, West Yorkshire","COMMERCIAL VEHICLE LIVERY AND SIGNAGE BUSINESS Over 45 Years in the Same Hands
High Volume of Return Business
Freehold and Leasehold Property Options
Services Provide High Profit Margins
Annual Turnover £150,000 to £178,000
REF 588445. EPC Band E.
Business and Property £200,000
Business Only £9...",200000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/125768306/153122_588445_IMG_00_0002_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/125504003#/?channel=COM_BUY,"Vacant Unit, West Yorkshire","VACANT SHOP UNIT
Excellent and Rare Opportunity
Local Landmark Property
Huge Potential
Easy Roadside Parking
REF 588615
Property, Offers Around £195,000
Leeds",195000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/128575064/153122_588615_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/125504003#/?channel=COM_BUY,"Town Street, Stanningley, Pudsey","The property comprises a part two storey and part three storey mixed commercial and residential property positioned in a prominent main road location. The ground floor is occupied by a hot food takeaway and extends to 426 ft², with the tenant paying £7,200 per annum. Above is a one bedro...",190000.0,,,"BRAMLEYS LLP, Huddersfield",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/127853204/229391_31851804_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
