title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Land for sale,https://www.rightmove.co.uk/properties/124399685#/?channel=COM_BUY,"East Living, French Street, Glasgow, Scotland, G40 4EH",Residential development opportunities with community and sustainability at the core.,,196020,,"Avison Young (UK) Limited, Scotland Agency",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234002/85540395/234002_111474FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Land for sale,https://www.rightmove.co.uk/properties/124399685#/?channel=COM_BUY,"Trongate, 11 Hutcheson Street, Glasgow, G1 1SL",Existing premises currently comprise prominent corner office building with three retail units over ground floor and basement and three upper floors of offices.,,32388,,"Gerald Eve, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109441/123192746/109441_10037FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial development for sale,https://www.rightmove.co.uk/properties/85540395#/?channel=COM_BUY,"Development Opportunity, Trongate, Glasgow, G1 1SL","Prime development opportunity with full planning consent for 157 key hotel. May be suitable for BTR and residential, subject to planning.",,32388,,"G M Brown, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/119143571/243653_88416-1_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Office for sale,https://www.rightmove.co.uk/properties/85540395#/?channel=COM_BUY,"St Vincent Plaza, 319 St. Vincent Street, Glasgow, G2","St Vincent Plaza is an iconic, best-in-class, 10 storey office building located in the city centre of Glasgow, offering secure and diversified income. •	Heritable Interest (Freehold)
•	Landmark development, completed in 2015, with a steel frame and a striking granite and glazed façade •	Occupyi...",,172465,,"Knight Frank, Glasgow - Commercial",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155504/124727213/155504_GLC012189941_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Office for sale,https://www.rightmove.co.uk/properties/123192746#/?channel=COM_BUY,"Napier Building, Scottish Enterprise Technology Park, East Kilbride, G75 0AF","Excellent part income producing purchase opportunity with 15,000 sq ft available to occupy.",,15017,,"G M Brown, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/117090839/243653_85157-1_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Office for sale,https://www.rightmove.co.uk/properties/123192746#/?channel=COM_BUY,"The Stables, 21 - 25 Carlton Court, Glasgow, G5 9JP",Excellent owner-occupier / investment / development opportunity situated just south of Glasgow City Centre,,10059,,"G M Brown, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/119480279/243653_89341-1_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Place of worship for sale,https://www.rightmove.co.uk/properties/119143571#/?channel=COM_BUY,"St Columba Gaelic Church, 300 St. Vincent Street, Glasgow, G2 5RU","Historic A-listed Gothic style church located towards the western end of St Vincent Street within the Blythswood district of Glasgow City Centre. The substantial building was completed in 1904 and has a 200ft spire, adjoining halls and raised ground floor one-bedroom church officers flat. ",,13999,,"Church of Scotland, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108596/127909778/108596_StColumbaGaelicChurch_IMG_19_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Office for sale,https://www.rightmove.co.uk/properties/119143571#/?channel=COM_BUY,"100 Berkeley Street, Glasgow City, Glasgow, Lanarkshire, G3 7AW","To Let/May Sell 100 Berkeley Street offers refurbished modern open plan office space to let with parking nearby. The self-contained first floor office suite is accessed via a secure door entry system at ground floor, with newly refurbished common area stairwell and lift. The offices have been re...",,2800,,"Avison Young (UK) Limited, Scotland Agency",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234002/128398544/234002_15665FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Land for sale,https://www.rightmove.co.uk/properties/124727213#/?channel=COM_BUY,"Balgray, Barrhead, Scotland, G78 2SG","Unique development opportunity in East Renfrewshire. East Renfrewshire Council offer for sale Balgray, land at Barrhead South, with a view to creating a new high quality residential neighbourhood connecting positively with the existing neighbourhoods of Barrhead South and to the surrounding count...",,2583336,,"Avison Young (UK) Limited, Scotland Agency",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234002/127743080/234002_112197FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Light industrial for sale,https://www.rightmove.co.uk/properties/124727213#/?channel=COM_BUY,"Tannochside Business Park, Tannochside Drive, Uddingston, Glasgow, G71 5PD",Industrial Units for sale in Glasgow,,87120,,"Savills, Glasgow Industrial",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214112/84968924/214112_8354-1_IMG_01_0001_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
