title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
3 bedroom terraced house,https://www.rightmove.co.uk/properties/128453723#/?channel=STU_LET,"Downend Park Road, Staple Hill, Bristol, BS16","*AVAILABLE FOR 2023/2024 ACADEMIC YEAR**
AT SANDSTONE UK WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM.
Beautifully renovated three bedroom Victorian property, offered fully furnished with a private rear garden.
",2145.0,495.0,26/10/2022,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128410241/76425_P6982_IMG_00_0000_max_476x317.jpeg,3,house,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128453726#/?channel=STU_LET,"Forest Road, Fishponds, Bristol, BS16","**AVAILABLE FOR 23/24 ACADEMIC YEAR** AT SANDSTONE UK WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM.
Newly renovated four bedroom semi-detached property with a garden in the heart of Fishponds. Fully-furnished and ideal for students!",3150.0,727.0,26/10/2022,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128410223/76425_P6696_IMG_00_0000_max_476x317.jpeg,4,house,"('51.4801856', '-2.5223411')",51.4801856,-2.5223411,,146
2 bedroom apartment,https://www.rightmove.co.uk/properties/128101361#/?channel=STU_LET,Upper Maisonette Southfield Road,"STUDENT ACCOMMODATION ONLY - Recently renovated house, shared facilities - £850.00 per student, bills included. The newly refurbished property is being let Furnished comprising of 5 double bedrooms ( 2 beds are left now ) , shared kitchen (with Electric Cooker, Washing machine, Fridg (cont.)",1700.0,392.0,17/10/2022,"Flatline Letting and Property Management, Clifton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46997/128101361/46997_FLA1002035_IMG_00_0000_max_476x317.jpeg,2,apartment,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
4 bedroom flat,https://www.rightmove.co.uk/properties/128101361#/?channel=STU_LET,"Moorlands Road, Fishponds, Bristol, BS16","**AVAILABLE FOR 2023/2024 ACADEMIC YEAR**
AT SANDSTONE WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM. Stunning newly renovated four bedroom property in bustling Fishponds. Offered fully furnished with private garden!",3150.0,727.0,26/10/2022,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128410229/76425_P6802_IMG_00_0000_max_476x317.jpeg,4,flat,"('51.4723781', '-2.534456')",51.4723781,-2.534456,,146
Studio flat,https://www.rightmove.co.uk/properties/128410229#/?channel=STU_LET,"Baldwin Street, Bristol",**STUDENT PROPERTY** **Academic Year 2023/2024** Studio Flat | Ideal for students or professionals | Fully furnished | Available 1st September 2023 | Couples also accepted If you are student starting Uni in September or a professional looking for a city centre pad then we are delighted to ...,1150.0,265.0,25/10/2022,"Bristol Property Centre, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80230/128398010/80230_10431950_IMG_00_0000_max_476x317.jpeg,studio,flat,"('51.4538245', '-2.5919391')",51.4538245,-2.5919391,,146
8 bedroom house,https://www.rightmove.co.uk/properties/128410229#/?channel=STU_LET,"Berkeley Crescent, Bristol, BS8","A large eight-bedroom fully furnished student property located at the top of Park Street, a short walk to the University of Bristol Campus.",6280.0,1449.0,25/10/2022,"Hopewell, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142562/128393240/142562_25504323_IMG_00_0000_max_476x317.jpeg,8,house,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128398010#/?channel=STU_LET,"Eldon Terrace, Bristol, BS3","Unfurnished - newly refurbished to an exceptional standard. Four double bedrooms, would suit 4 professionals or students. Available from 4th November 2022. ",2400.0,554.0,25/10/2022,"JBS Bristol Lettings, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158492/128371850/158492_EldonJBS2_IMG_09_0000_max_476x317.jpeg,4,house,"('51.4382813', '-2.5953002')",51.4382813,-2.5953002,,146
3 bedroom apartment,https://www.rightmove.co.uk/properties/128398010#/?channel=STU_LET,"East Street, Bedminster, BS3 4EX","*** COUPLE AND FAMILIES ONLY***Romans are delighted to bring to market this recent refurbished three bedroom apartment available to a couple or family ONLY, the property is set in a appealing location with newly painted walls and new carpets throughout. The property is positioned in a friendly an...",1495.0,345.0,25/10/2022,"Romans, Clifton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8190/128371517/8190_P220068_IMG_07_0000_max_476x317.jpeg,3,apartment,"('51.4393745', '-2.6018339')",51.4393745,-2.6018339,,146
3 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128393240#/?channel=STU_LET,"Atherston, Bristol","3 BEDROOM SEMI-DETACHED FAMILY HOME!! DRIVEWAY PARKING!! RECENTLY DECORATED!! OFFERED UNFURNISHED!! AVAILABLE NOVEMBER 2022!! 5 WEEKS DEPOSIT - £1,557.69!! LONG TERM TENANCY WITH AN INITIAL PERIOD OF 6 MONTHS!! COUNCIL TAX BAND - C!! Blue Sky are proud to offer for rent this very well presented t...",1350.0,312.0,24/10/2022,"Blue Sky Estate Agents, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51564/128364110/51564_31893735_IMG_00_0000_max_476x317.jpeg,3,house,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
2 bedroom flat,https://www.rightmove.co.uk/properties/128393240#/?channel=STU_LET,"Rownham Court, Rownham Mead, Bristol, BS8","Situated in a quiet development in Hotwells, this spacious property comprises of a very large sitting/dining room, kitchen with integrated appliances, bathroom with shower over the bath and two double bedrooms. The apartment also benefits from a garage and balcony. This delightful two bed propert...",1500.0,346.0,24/10/2022,"Romans, Clifton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8190/128000882/8190_P75857_IMG_02_0000_max_476x317.jpeg,2,flat,"('51.4496949', '-2.6172065988289535')",51.4496949,-2.6172065988289535,,146
