title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Light industrial for sale,https://www.rightmove.co.uk/properties/124993610#/?channel=COM_BUY,"Industrial Storage Yard and Workshop, Southside Rail Line, Gorton Road, Manchester M11 2DZ","Tenanted Industrial Site – 3,143 Sq.Ft. Workshop and Yard – Site Area Approximately 0.4 Acres. Currently Let at £1,700 pcm / £20,400 pa - Online Auction 9th to 10th November 2022",200000.0,,,"Auction House, Fulwood",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47772/128286734/47772_202210211107sq_bfk8_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Commercial property for sale,https://www.rightmove.co.uk/properties/124993610#/?channel=COM_BUY,Victoria Avenue,"*****COMMERCIAL PROPERTY WITH A THREE BED FLAT ABOVE***** For Sale shop premises with a three bedroom flat above! It is located in one of the busiest main roads in Blackley! Currently trading as an off license which the owner has been running for the past 20 years, and now wishes to...",195000.0,,,"Pearson Ferrier, Cheetham Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/144k/143492/102152885/143492_30340899_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Residential development for sale,https://www.rightmove.co.uk/properties/126640913#/?channel=COM_BUY,"Norfolk Avenue, Heaton Chapel, Stockport, M2 5WA","We are pleased to offer for sale a plot of land on a quiet cul de sac, in a prime Heaton Chapel location. Full planning permission for a four bedroom family dwelling of circa 1,600 sq ft has been gran...",185000.0,,,"Townhouse, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81083/126640913/81083_635463_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Retail property (high street) for sale,https://www.rightmove.co.uk/properties/126640913#/?channel=COM_BUY,"Poplar Road, Swinton, M27","**COMMERCIAL PROPERTY** We are delighted to bring to the market this commercial property located in a prime location in South Swinton. The property itself is a detached unit with space for 2 cars to the front. Internally, there is the main shop floor area and separate kitchen and w.c ...",160000.0,,,"Thornley Groves, Monton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7563/122895338/7563_SWN220264_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Commercial property for sale,https://www.rightmove.co.uk/properties/122895338#/?channel=COM_BUY,"Manchester Road, Audenshaw","TO BE SOLD BY ONLINE AUCTION STARTING ON 16TH NOVEMBER 2022. 11 Manchester Road, Audenshaw. Former GP Surgery premises with accommodation over three floors plus basement and rear access. The property represents an opportunity to develop the up...",150000.0,,,"Edward Mellor Ltd, Auction",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43164/128479805/43164_EM-67061_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Takeaway for sale,https://www.rightmove.co.uk/properties/122895338#/?channel=COM_BUY,"Midlothian Street, Manchester","***INVESTORS AND LANDLORDS TAKE NOTE***TENANT IN SITU***CASH BUYERS ONLY***
Saltsman & Co. are delighted to bring this tenanted commercial building to the market. Property is tenanted with an established company who are well renowned within the area. Tenants are on a 10 year, full repairing l...",145000.0,689,,"Saltsman & co, Droylsden",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/126271013/89398_101225002070_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Land for sale,https://www.rightmove.co.uk/properties/128479805#/?channel=COM_BUY,"Land at 10 Moxley Road, Manchester","Aubrey Lee & Co are pleased to offer for sale this parcel of land situated at 10 Moxley Road, Crumpsall. PP has been obtained for the erection of a substantial 5 bed end terraced property. We are in receipt of a number of building quotes, which can be made available to interested parties.",100000.0,,,"Aubrey Lee & Co, Prestwich",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42575/85581345/42575_6407_AUBR_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Commercial property for sale,https://www.rightmove.co.uk/properties/128479805#/?channel=COM_BUY,"TO LET - Third Avenue, Trafford Park, Manchester","TO LET - Third Avenue, Trafford Park, Manchester . Workshop/Warehouse - Circa 10,107 sq ft Location The property sits on the corner of Third Avenue and Trafford Park Road. It is conveniently located and is within walking distance of The Village which is home to Greggs and various industrial o...",,,,"Barton Kendal Residential, Rochdale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/20k/19110/128158253/19110_11746017_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Land for sale,https://www.rightmove.co.uk/properties/126271013#/?channel=COM_BUY,"Amos Avenue, Manchester, M40",The site comprises previously developed land and it is believed to have historically had a building on it with commercial use as a shop. Application 036182 approved in 1990 for change of use from a launderette to furniture shop confirms that the site was previously occupied by a commercial develo...,75000.0,,,"Madina Property, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/124504259/58065_1948_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Commercial property for sale,https://www.rightmove.co.uk/properties/126271013#/?channel=COM_BUY,"North Road, Droylsden, Manchester",****2 RENTABLE UNITS FOR SALE INCLUDED WITH SHOP AND LOCK UP FACILITY WITH SEPARATE ACCESS**** COMMERCIAL PREMISES FOR SALE WITH LOCK UP UNIT AT REAR****MODERN INTERIOR****PREVIOUSLY USED AS A NAIL SALON BUT WOULD SUIT A VARIETY OF USES****BUSY PARADE OF SHOPS****IDEAL INVESTMENT**** We offer for...,69995.0,,,"N P Estates, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/87k/86999/84615994/86999_29989758_IMG_01_0000_max_476x317.jpg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
