title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Commercial property for sale,https://www.rightmove.co.uk/properties/117984686#/?channel=COM_BUY,"Carlyle's Bar and Kitchen, 36 Main Street, Balerno, EH14 7EH","Unique and rare opportunity to acquire a fully trading Cafe/Bar/Restaurant, located in a prime position on Balerno Main Street, a town within a town on the outskirts of Edinburgh.",300000.0,,,"McEwan Fraser Legal, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/122789654/67242_MFL6210721_IMG_10_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Residential development for sale,https://www.rightmove.co.uk/properties/117984686#/?channel=COM_BUY,"35 Hopetoun Street, Edinburgh, Residential Development Opportunity","Residential development opportunity with planning permission for the
Change of Use from Class 4 (Office) to Sui Generis (Residential Flats)
to create 5 units.",,4356,,"Savills, Glasgow - Development",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92671/128368769/92671_A882796B-B68B-4BE3-8954-9238D73438D0_IMG_04_0003_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Commercial property for sale,https://www.rightmove.co.uk/properties/124521245#/?channel=COM_BUY,"The Red Bus, 28 West Harbour Road, Edinburgh, EH5 1PN","A unique opportunity to own and operate a profitable, vintage, transportation company.",199999.0,,,"McEwan Fraser Legal, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/117070913/67242_MFL3206215_IMG_02_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Retail property (high street) for sale,https://www.rightmove.co.uk/properties/124521245#/?channel=COM_BUY,113 Princes Street Edinburgh EH2 3AA,"Nearby occupiers include River Island, Levis, Urban Outfitters and Boots. The unit sits adjacent to the former Debenhams store where a new mixed use development is proposed anchored by a 200 plus room (100,000 sq ft) full use hotel. The premises benefit from Class 1 consent. This property has an E",,1442,,"Orinsen, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247304/122744354/247304_SALE113PrincesStreetEdinburghEH23AA_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Takeaway for sale,https://www.rightmove.co.uk/properties/124150808#/?channel=COM_BUY,"Portland Place, Edinburgh, EH6",BUSY THRIVING HOT FOOD TAKEAWAY,165000.0,,,"DM Hall, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/124352129/146198_ESA2727_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Commercial property for sale,https://www.rightmove.co.uk/properties/124150808#/?channel=COM_BUY,"Lifestyle Express, 18 Portland Place, Leith, Edinburgh, EH6 6LA",Rarely available FREEHOLD property located close to Edinburgh's city centre in Leith.,150000.0,,,"McEwan Fraser Legal, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/78577343/67242_MFL4174682_IMG_19_0001_max_476x317.jpg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Cafe for sale,https://www.rightmove.co.uk/properties/126630773#/?channel=COM_BUY,"Red Kite Cafe, 7-8 Cadzow Place, Edinburgh, EH7 5SN","Leasehold. Excellent City Centre Location. Seating for 50 Covers. Well Equipped Commercial Kitchen. Turnover for Y/E 31 Oct '21 £352,491. Ideal for New Entrant or Existing Operator",150000.0,,,"Christie & Co, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163145/127567553/163145_5265425-lh_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Takeaway for sale,https://www.rightmove.co.uk/properties/126630773#/?channel=COM_BUY,"Piershill Place, Edinburgh, EH8",** PRICE REDUCED **Class 3 Hot Food Takeaway investment with strong reversionary yield potential. VAT applicable..,115000.0,477,,"ALLIED SURVEYORS SCOTLAND, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/123475958/245594_PiershillPlace_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Takeaway for sale,https://www.rightmove.co.uk/properties/119816621#/?channel=COM_BUY,"Edinburgh, Scotland, EH3",Modern Fish & Chip Shop with Late License,55995.0,,,"Hilton Smythe, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150767/80087573/150767_B04357_IMG_02_0000_max_476x317.JPG,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Commercial property for sale,https://www.rightmove.co.uk/properties/119816621#/?channel=COM_BUY,"Quick Bite 324 Morningside Road, Edinburgh, EH10 4QJ","10 year lease for sale in a prime position in the desirable area off Morningside, Currently running as a successful café.",45000.0,,,"McEwan Fraser Legal, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/115320215/67242_MFL9201179_IMG_03_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
