title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
6 bedroom terraced house,https://www.rightmove.co.uk/properties/116972708#/?channel=STU_LET,23 Cranborne Road,"BRAND NEW BEAUTIFULLY REFURBED 6 BED 6 BATHROOM ENSUITE STUDENT HOUSE! LUXURY HOUSE, TVS IN ALL BEDROOMS, ONLY £150 PER WEEK!",650.0,150.0,yesterday,"BRIC Living, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243056/83619351/243056_23CRAN_IMG_03_0001_max_476x317.jpeg,6,house,"('53.3987342', '-2.9388795')",53.3987342,-2.9388795,,1888
5 bedroom house share,https://www.rightmove.co.uk/properties/116972708#/?channel=STU_LET,"Albany Road, Liverpool",Available 23/24 Academic Year! 5 BEDROOM HOUSE - ALBANY ROAD Rent is £115 per week per person,498.0,115.0,yesterday,"Mr Sales and Lettings, Reading",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115582/128674601/115582_1128_MRSL_IMG_00_0000_max_476x317.jpeg,5,share,"('53.4674602', '-2.9530508')",53.4674602,-2.9530508,,1888
3 bedroom house,https://www.rightmove.co.uk/properties/83619351#/?channel=STU_LET,58 Guelph Street Let Only,"Perfect Kensington location, a short walk to Uni. Kitchen to be refurbished over the summer! All large double bedrooms, fully furnished @ £110 per week. £200 Deposit. TV included in living room with license! Price includes all bills and WIFI. Located in Kensington - a short walk to all...",477.0,110.0,yesterday,"Rooms4u, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/168k/167162/128673023/167162_ab9917ab-3394-4eff-b74c-e4c9cf41c071_IMG_00_0000_max_476x317.jpeg,3,house,"('53.4071991', '-2.99168')",53.4071991,-2.99168,,1888
7 bedroom semi-detached house,https://www.rightmove.co.uk/properties/83619351#/?channel=STU_LET,"Smithdown Road, Wavertree","STUDENTS 2023/24. Refurbed 7 bed house on the corner of Lidderdale Road and Smithdown Road. All bedrooms have en suites. £140pppw bills included. 50"" Smart TV. Half rent in July",607.0,140.0,yesterday,"Ask Lettings (North West) Ltd, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127417/116066375/127417_459_IMG_06_0001_max_476x317.jpeg,7,house,"('53.3900706', '-2.9236506')",53.3900706,-2.9236506,,1888
6 bedroom house,https://www.rightmove.co.uk/properties/128674601#/?channel=STU_LET,57 Salisbury Road - Let Only,*STUDENTS ONLY** **Groups of 7 only** Huge 7 bed property off Smithdown Road which is very well maintained. Bills included with a huge increase on the cap to reflect the increase in utility price 7 good sized bed rooms with 2 full bathrooms. Great communal spaces. Large living area and separa...,520.0,120.0,yesterday,"Rooms4u, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/168k/167162/128672225/167162_4fb7389d-fae9-4709-b735-b436f656f717_IMG_00_0000_max_476x317.jpeg,6,house,"('53.4071991', '-2.99168')",53.4071991,-2.99168,""">1,421",1888
7 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128674601#/?channel=STU_LET,"Blenheim Road, Liverpool",Available 23/24 Academic Year! 7 BEDROOM STUDENT HOUSE - BLENHEIM ROAD Rent is £135 per week per person,585.0,135.0,yesterday,"Mr Sales and Lettings, Reading",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115582/128671730/115582_1276_MRSL_IMG_00_0000_max_476x317.jpeg,7,house,"('53.3889337', '-2.9198633')",53.3889337,-2.9198633,""">1,421",1888
2 bedroom terraced house,https://www.rightmove.co.uk/properties/128673023#/?channel=STU_LET,"Methuen Street, Liverpool",Available 23/24 Academic Year! 2 BEDROOM STUDENT HOUSE - METHUEN STREET Rent is £115 per week per person,498.0,115.0,yesterday,"Mr Sales and Lettings, Reading",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115582/128670599/115582_1336_MRSL_IMG_00_0000_max_476x317.jpeg,2,house,"('53.3991642', '-2.9315701')",53.3991642,-2.9315701,,1888
4 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128673023#/?channel=STU_LET,"Lidderdale Road, Liverpool",Available 23/24 Academic Year! 4 BEDROOM STUDENT HOUSE - LIDDERDALE ROAD Rent is £110 per week per person,477.0,110.0,yesterday,"Mr Sales and Lettings, Reading",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115582/128669492/115582_1256_MRSL_IMG_00_0000_max_476x317.jpeg,4,house,"('53.39136', '-2.9270044')",53.39136,-2.9270044,,1888
6 bedroom semi-detached house,https://www.rightmove.co.uk/properties/116066375#/?channel=STU_LET,"Lawrence Road, Liverpool",Available 23/24 Academic Year! 6 BEDROOM STUDENT HOUSE - LAWRENCE ROAD Rent is £135 per week per person,585.0,135.0,yesterday,"Mr Sales and Lettings, Reading",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/116k/115582/128669489/115582_1241_MRSL_IMG_12_0000_max_476x317.jpeg,6,house,"('53.3953392', '-2.9289792')",53.3953392,-2.9289792,,1888
4 bedroom end of terrace house,https://www.rightmove.co.uk/properties/116066375#/?channel=STU_LET,"Kenyon Road, Wavertree",Students 2023/24. Half rent in July. 4 bedroom house just off Penny Lane in Wavertree renovated to a Very High Specification. Underfloor heating in the kitchen and bathroom. Half rent in July,520.0,120.0,yesterday,"Ask Lettings (North West) Ltd, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127417/99903893/127417_3ken_IMG_19_0000_max_476x317.jpeg,4,house,"('53.3895112', '-2.9160833')",53.3895112,-2.9160833,,1888
6 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128672225#/?channel=STU_LET,"Avondale Road, Liverpool, L15","6 Bed Semi-Detached House, Avondale Road, L15 We are proud to offer this delightful 6 bedroom, 2 bathroom semi-detached house in a great location. Available to students only. Available to move i... ** Property Reference: 1540135 **",3458.0,798.0,yesterday,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128667800/96668_154013502112022_IMG_00_0000_max_476x317.jpeg,6,house,"('53.3928615', '-2.9294904')",53.3928615,-2.9294904,,1888
1 bedroom flat,https://www.rightmove.co.uk/properties/128672225#/?channel=STU_LET,"6 Bed - Smithdown Road, Wavertree",ONE ROOM AVAILABLE in a shared 6 bed student flat with a front and back entrance which has been fully refurbished and renovated to a very high standard with 2 bathrooms and all new furniture and appliances. Gas and Electric allowance Included EPC=C,420.0,97.0,yesterday,"MGM Letting Ltd, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95329/128667506/95329_SS212SR1_IMG_00_0000_max_476x317.jpeg,1,flat,"('53.3900706', '-2.9236506')",53.3900706,-2.9236506,,1888
3 bedroom town house,https://www.rightmove.co.uk/properties/128671730#/?channel=STU_LET,"Golders Green, Liverpool, Merseyside, L7","AVAILAILABLE FOR 23/24! Golders Green is a fantastic three storey townhouse, with three double bedrooms, two bathrooms, and a garden space, great for BBQs and socialising outdoors! Enquire now to avoid disappointment!",511.0,118.0,yesterday,"The Student Co, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59787/74270783/59787_34Golders_IMG_02_0000_max_476x317.jpg,3,house,"('53.4071991', '-2.99168')",53.4071991,-2.99168,,1888
3 bedroom apartment,https://www.rightmove.co.uk/properties/128671730#/?channel=STU_LET,"Plaza Boulevard, Liverpool","The Terrace is a modern development in the Baltic Triangle, Liverpool. This 3 bedroom, 2 bathroom apartment is a fantastic find for any young professionals and students alike sitting less than a 5 minute drive to Liverpool ONE and James Street train station or 10 minutes to Liverpool Central stat...",1350.0,312.0,yesterday,"Ascend, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/172k/171335/128666324/171335_31917949_IMG_00_0000_max_476x317.jpeg,3,apartment,"('53.3932971', '-2.9820625')",53.3932971,-2.9820625,,1888
